original_name,gsmarena_name,gsmarena_id,brand,launch_date,status,dimensions,weight,build,sim,display_size,display_resolution,display_type,os,chipset,cpu,gpu,ram,storage,main_camera,camera_features,camera_video,selfie_camera,battery,charging,colors,price_myr,main_image,thumbnail,gallery_images,collected_date
"iphone 13","Apple iPhone 13","11103","Apple","September 2021","Available","146.7 x 71.5 x 7.65 mm","174 g","Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame","Nano-SIM and eSIM","6.1 inches","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","Super Retina XDR OLED, HDR10, Dolby Vision, 800 nits (HBM), 1200 nits (peak)","iOS 15, upgradable to iOS 17","Apple A15 Bionic (5 nm)","Hexa-core (2x3.23 GHz Avalanche + 4x1.82 GHz Blizzard)","Apple GPU (4-core graphics)","4 GB","128GB, 256GB, 512GB","Dual 12 MP, f/1.6, 26mm (wide), 1/1.7, 1.9µm, dual pixel PDAF, sensor-shift OIS; 12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.","12 MP, f/2.2, 23mm (wide), 1/3.6","Li-Ion 3240 mAh, non-removable","Wired, PD2.0, 50% in 30 min (advertised), 15W wireless (MagSafe), 7.5W wireless (Qi), 4.5W reverse wired","Pink, Blue, Midnight, Starlight, (PRODUCT)RED","1875","https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-13.jpg","https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-1.jpg","https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-1.jpg;https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-2.jpg;https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-13-3.jpg","2024-06-30"
"iphone 15 pro","Apple iPhone 15 Pro","12559","Apple","September 2023","Available","146.6 x 70.6 x 8.25 mm","187 g","Titanium frame, glass back (Gorilla Glass), glass front (Ceramic Shield)","Nano-SIM and eSIM","6.1 inches","1179 x 2556 pixels, 19.5:9 ratio (~461 ppi density)","LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)","iOS 17, upgradable to iOS 17.5","Apple A17 Pro (3 nm)","Hexa-core (2x3.78 GHz + 4x2.11 GHz)","Apple GPU (6-core graphics)","8 GB","128GB, 256GB, 512GB, 1TB","Triple 48 MP, f/1.78, 24mm (wide), 1/1.28, 1.22µm, dual pixel PDAF, sensor-shift OIS; 12 MP, f/2.8, 77mm (telephoto), 1/3.5, 1.0µm, PDAF, OIS, 3x optical zoom; 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55, 1.4µm, dual pixel PDAF","Dual-LED dual-tone flash, HDR (photo/panorama)","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, HDR, Dolby Vision HDR (up to 60fps), ProRes, Cinematic mode (4K@30fps), stereo sound rec.","12 MP, f/1.9, 23mm (wide), 1/3.6, PDAF","Li-Ion 3274 mAh, non-removable","Wired, PD2.0, 50% in 30 min (advertised), 15W wireless (MagSafe), 7.5W wireless (Qi), 4.5W reverse wired","Natural Titanium, Blue Titanium, White Titanium, Black Titanium","4695","https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15-pro.jpg","https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-15-pro-1.jpg","https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-15-pro-1.jpg;https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-15-pro-2.jpg;https://fdn2.gsmarena.com/vv/pics/apple/apple-iphone-15-pro-3.jpg","2024-06-30"
"samsung s24","Samsung Galaxy S24","13017","Samsung","January 2024","Available","147.0 x 70.6 x 7.6 mm","167 g","Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame","Nano-SIM and eSIM","6.2 inches","1080 x 2340 pixels, 19.5:9 ratio (~416 ppi density)","Dynamic AMOLED 2X, 120Hz, HDR10+, 2600 nits (peak)","Android 14, One UI 6.1","Exynos 2400 (4 nm)","Deca-core (1x3.2 GHz Cortex-X4 & 2x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.95 GHz Cortex-A520)","Xclipse 940","8 GB","128GB, 256GB","Triple 50 MP, f/1.8, 24mm (wide), 1/1.56, 1.0µm, dual pixel PDAF, OIS; 10 MP, f/2.4, 67mm (telephoto), 1/3.94, 1.0µm, PDAF, OIS, 3x optical zoom; 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55, 1.4µm, Super Steady video","LED flash, auto-HDR, panorama","8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS","12 MP, f/2.2, 26mm (wide), 1/3.2, 1.12µm","Li-Ion 4000 mAh, non-removable","25W wired, PD3.0, 50% in 30 min (advertised), 15W wireless, 4.5W reverse wireless","Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow","3755","/images/phones/samsung-s24.jpg.jpg","/images/phones/samsung-s24.jpg.jpg","/images/phones/samsung-s24.jpg.jpg","2024-06-30"
"samsung a14 5g","Samsung Galaxy A14 5G","11855","Samsung","January 2023","Available","167.7 x 78.0 x 9.1 mm","202 g","Glass front, plastic back, plastic frame","Nano-SIM","6.6 inches","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)","PLS LCD, 90Hz","Android 13, One UI 5.1","Exynos 1330 (5 nm)","Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55)","Mali-G68 MP2","4 GB, 6 GB, 8 GB","64GB, 128GB","Triple 50 MP, f/1.8, (wide), PDAF; 2 MP, f/2.4, (macro); 2 MP, f/2.4, (depth)","LED flash, panorama, HDR","1080p@30fps","13 MP, f/2.0, (wide)","Li-Po 5000 mAh, non-removable","15W wired","Black, Dark Red, Silver, Light Green","1405","https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a14-5g.jpg","https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-a14-5g-1.jpg","https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-a14-5g-1.jpg;https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-a14-5g-2.jpg","2024-06-30"
"redmi note 13 pro","Xiaomi Redmi Note 13 Pro","13156","Xiaomi","September 2023","Available","161.15 x 74.24 x 7.98 mm","187 g","Glass front (Gorilla Glass 5), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","6.67 inches","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","AMOLED, 120Hz, 1800 nits (peak)","Android 13, MIUI 14","MediaTek Helio G99-Ultra (6 nm)","Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)","Mali-G57 MC2","8 GB, 12 GB","128GB, 256GB, 512GB","Triple 200 MP, f/1.7, 22mm (wide), 1/1.4, 0.56µm, multi-directional PDAF, OIS; 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0, 1.12µm; 2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, 720p@960fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06, 1.0µm","Li-Po 5100 mAh, non-removable","67W wired, 100% in 44 min (advertised)","Midnight Black, Aurora Purple, Coral Green","1405","https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-13-pro.jpg","https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-redmi-note-13-pro-1.jpg","https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-redmi-note-13-pro-1.jpg;https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-redmi-note-13-pro-2.jpg","2024-06-30"
"nothing 2a","Nothing Phone (2a)","13891","Nothing","March 2024","Available","161.7 x 76.3 x 8.6 mm","190 g","Glass front (Gorilla Glass 5), plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","6.7 inches","1084 x 2412 pixels, 20:9 ratio (~394 ppi density)","AMOLED, 120Hz, 1300 nits (peak)","Android 14, Nothing OS 2.5","MediaTek Dimensity 7200 Pro (4 nm)","Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510)","Mali-G610 MC4","8 GB, 12 GB","128GB, 256GB","Dual 50 MP, f/1.88, 24mm (wide), 1/1.56, 1.0µm, PDAF; 50 MP, f/2.2, 114˚ (ultrawide), 1/2.76, 0.64µm","LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 21mm (wide), 1/2.74, 0.8µm","Li-Po 5000 mAh, non-removable","45W wired, 100% in 55 min (advertised)","Milk, Black","1640","https://fdn2.gsmarena.com/vv/bigpic/nothing-phone-2a.jpg","https://fdn2.gsmarena.com/vv/pics/nothing/nothing-phone-2a-1.jpg","https://fdn2.gsmarena.com/vv/pics/nothing/nothing-phone-2a-1.jpg;https://fdn2.gsmarena.com/vv/pics/nothing/nothing-phone-2a-2.jpg","2024-06-30"
"poco m6 pro","Xiaomi Poco M6 Pro","13654","Xiaomi","January 2024","Available","168.6 x 76.3 x 8.2 mm","199 g","Glass front, plastic back, plastic frame","Dual SIM (Nano-SIM, dual stand-by)","6.67 inches","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)","AMOLED, 120Hz, 1300 nits (peak)","Android 13, MIUI 14","MediaTek Helio G99-Ultra (6 nm)","Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)","Mali-G57 MC2","8 GB, 12 GB","256GB, 512GB","Triple 64 MP, f/1.79, 26mm (wide), 1/1.97, 0.7µm, PDAF; 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0, 1.12µm; 2 MP, f/2.4, (macro)","Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, 720p@960fps, gyro-EIS","16 MP, f/2.4, (wide), 1/3.06, 1.0µm","Li-Po 5000 mAh, non-removable","67W wired, 100% in 44 min (advertised)","Power Black, Forest Green, Coral Purple","935","https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-m6-pro.jpg","https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-poco-m6-pro-1.jpg","https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-poco-m6-pro-1.jpg;https://fdn2.gsmarena.com/vv/pics/xiaomi/xiaomi-poco-m6-pro-2.jpg","2024-06-30"
"oneplus 12","OnePlus 12","13512","OnePlus","December 2023","Available","164.3 x 75.8 x 9.2 mm","220 g","Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame","Dual SIM (Nano-SIM, dual stand-by)","6.82 inches","1440 x 3168 pixels, 19.8:9 ratio (~510 ppi density)","LTPO4 AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 4500 nits (peak)","Android 14, OxygenOS 14","Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm)","Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520)","Adreno 750","12 GB, 16 GB, 24 GB","256GB, 512GB, 1TB","Triple 50 MP, f/1.6, 23mm (wide), 1/1.43, 1.12µm, multi-directional PDAF, OIS; 64 MP, f/2.6, 70mm (periscope telephoto), 1/2.0, 0.7µm, PDAF, OIS, 3x optical zoom; 48 MP, f/2.2, 14mm, 114˚ (ultrawide), 1/2.0, 0.8µm, PDAF","Hasselblad Color Calibration, dual-LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/240fps, Auto HDR, gyro-EIS","32 MP, f/2.4, 21mm (wide), 1/2.74, 0.8µm","Li-Po 5400 mAh, non-removable","100W wired, 1-100% in 26 min (advertised), 50W wireless, 1-100% in 55 min (advertised), 10W reverse wireless","Flowy Emerald, Silky Black, Rock Black","3755","https://fdn2.gsmarena.com/vv/bigpic/oneplus-12.jpg","https://fdn2.gsmarena.com/vv/pics/oneplus/oneplus-12-1.jpg","https://fdn2.gsmarena.com/vv/pics/oneplus/oneplus-12-1.jpg;https://fdn2.gsmarena.com/vv/pics/oneplus/oneplus-12-2.jpg;https://fdn2.gsmarena.com/vv/pics/oneplus/oneplus-12-3.jpg","2024-06-30"
